name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price
Bacca Bucci HIKE 5-Eye Moto Inspired Light weighted Mountaineering Backpacking Trekking/Hiking Boots for Men for beginners;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81w9yb+3M-L._AC_UL320_.jpg;https://www.amazon.in/Bacca-Inspired-Mountaineering-Backpacking-Beginners/dp/B09TWXGHV2/ref=sr_1_577?qid=1679147204&s=shoes&sr=1-577;4.0;232;₹1,40;₹3,00
Adidas Mens Terrex Trailmaker Primegreen Hiking Shoe;stores;Men's Fashion;https://m.media-amazon.com/images/I/81Xc9rHOu7L._AC_UL320_.jpg;https://www.amazon.in/Adidas-Terrex-Trailmaker-Primegreen-Beiton/dp/B0919PB9GM/ref=sr_1_13216?qid=1679151317&s=apparel&sr=1-13216;4.2;19;₹4,00;₹10,00
Adidas Mens Terrex Trailmaker Primegreen Hiking Shoe;stores;Men's Fashion;https://m.media-amazon.com/images/I/81Xc9rHOu7L._AC_UL320_.jpg;https://www.amazon.in/Adidas-Terrex-Trailmaker-Primegreen-Beiton/dp/B0919PB9GM/ref=sr_1_13254?qid=1679151320&s=apparel&sr=1-13254;4.2;19;₹4,00;₹10,00
Adidas Mens Terrex Trailmaker Primegreen Hiking Shoe;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81Xc9rHOu7L._AC_UL320_.jpg;https://www.amazon.in/Adidas-Terrex-Trailmaker-Primegreen-Beiton/dp/B0919PB9GM/ref=sr_1_883?qid=1679147216&s=shoes&sr=1-883;4.2;19;₹4,00;₹10,00
Centrino Men Hiking Boots;stores;Sportswear;https://m.media-amazon.com/images/I/81XkAe0lzRL._AC_UL320_.jpg;https://www.amazon.in/Centrino-Olive-Hiking-Boots-7-1243-04/dp/B07LC1JHN4/ref=sr_1_1690?qid=1679149382&s=apparel&sr=1-1690;3.5;254;₹839,00;₹2,20
Merrell Men's Moab FST 2 Mid Waterproof Hiking Shoe Black/Granite 07.5 M US;stores;Sportswear;https://m.media-amazon.com/images/I/81xkC7pOBsL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Waterproof-Hiking-Black-Granite/dp/B078NHGS32/ref=sr_1_5331?qid=1679149506&s=apparel&sr=1-5331;4.2;113;;₹25,820.22
Merrell Men's Moab FST 2 Hiking Shoe Black/Granite 07.0 M US;stores;Sportswear;https://m.media-amazon.com/images/I/81xqEaE8HTL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Mens-Hiking-Olive-Adobe/dp/B078NH1YKZ/ref=sr_1_5332?qid=1679149506&s=apparel&sr=1-5332;4.4;224;;₹19,798.02
Red Chief Leather Casual Shoe for Men's | Genuine Leather and Comfortable Tracking and Hiking with TPR Sole | Shoe is Ligh...;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81xW0EYhUaL._AC_UL320_.jpg;https://www.amazon.in/Redchief-Leather-Trekking-Hiking-Footwear/dp/B00PID1L4S/ref=sr_1_2782?qid=1679147285&s=shoes&sr=1-2782;4.1;425;₹3,51;₹3,90
Merrell Men's High Rise Hiking Boots;stores;Sportswear;https://m.media-amazon.com/images/I/81YVDm90sZL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Mens-FORESTBOUND-Boot-Cloudy/dp/B07KMC8SC4/ref=sr_1_4535?qid=1679149477&s=apparel&sr=1-4535;4.3;638;;₹22,670.53
Nicholas Jake Latest Stylish Casual Shoes for Men | Lace up Lightweight Shoes for Running, Walking, Gym, Trekking, Hiking...;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81ZHZWX606S._AC_UL320_.jpg;https://www.amazon.in/Nicholas-Stylish-Lightweight-Running-Trekking/dp/B093112XCR/ref=sr_1_12565?qid=1679147638&s=shoes&sr=1-12565;1.0;1;₹499,00;₹1,70
